,seed,sample,scale,j,c,ARS,Nfac,Conv_item_NoARS_Thr_chi,Conv_item_NoARS_Load_chi,Conv_item_ARS_Thr_chi,Conv_item_ARS_Load_chi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,1.000,1.000,1.000,1.000
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,1.000,1.000,0.603,0.520
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,1.000,1.000,0.701,0.630
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,1.000,1.000,0.609,0.549
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,1.000,1.000,0.613,0.552
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,1.000,1.000,1.000,1.000
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,1.000,1.000,0.647,0.567
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,1.000,1.000,0.710,0.625
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,1.000,1.000,0.751,0.664
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,1.000,1.000,0.561,0.497
